,0,1,2,3,4,5,6,7,8,9,10
0,№,Код станции,Код станции,Название станции,Кодсейсмологическогоцентра,"Широта,гр. N","Долгота,гр. E","Высотастанции,м.","Датаоткрытия,дд.мм.гггг","Датазакрытия,дд.мм.гггг",Типстанции
1,№,междуна-родный,региональ-ный,Название станции,Кодсейсмологическогоцентра,"Широта,гр. N","Долгота,гр. E","Высотастанции,м.","Датаоткрытия,дд.мм.гггг","Датазакрытия,дд.мм.гггг",Типстанции
62,61,BMKR.SM,БМН,Бомнак,SAGSR,54.71,128.849,342,01.11.1974,,sds
63,62,BOD,БДБ,Бодайбо,BAGSR,57.819,114.005,245,04.11.1960,,rds
64,63,BOD.SM,БДБ,Бодайбо,BAGSR,57.819,114.005,245,04.11.1960,,sds
65,64,BRBA,BRBA,Баренцбург А,KOGSR,78.059,14.217,58,01.01.2001,,rds
66,65,BRBB,BRBB,Баренцбург Б,KOGSR,78.0935,14.208,80,01.01.2001,,rds
67,66,BRCR,BRCR,Берчикуль,ASGSR,55.635,88.2994,381,23.09.1999,,rds
68,67,BRCR.SM,BRCR,Берчикуль,ASGSR,55.635,88.2994,381,01.01.2013,14.06.2019,sds
69,68,BSTK,BST,Быстровка-2,ASGSR,54.568,82.653,121,10.04.2002,,rds
70,69,BSTK.SM,BST,Быстровка-2,ASGSR,54.568,82.653,121,30.03.2016,,sds
71,70,BT1,BT1,Байтуган-1,OBGSR,54.118,52.348,144,22.07.2014,,lds
72,71,BT2,BT2,Байтуган-2,OBGSR,54.242,52.372,325,18.07.2016,,lds
73,72,BT3,BT3,Байтуган-3,OBGSR,54.228,52.459,184,30.06.2017,,lds
74,73,BTGS,BTG,Батагай,YAGSR,67.656,134.625,127,12.03.1975,,rds
75,74,BTKR,BTKR,Батакоюрт,NOGSR,43.3722,44.5422,595,02.12.2005,,rds
76,75,BTLR,BTLR,Ботлих,DAGSR,42.6653,46.2192,970,19.11.1994,,rds
77,76,BTLR.SM,BTL,Ботлих,DAGSR,42.6653,46.2192,970,19.11.1994,28.06.2010,sas
78,77,BTMB,BTM,Бабушкин,BUGSR,51.6997,105.832,550,01.03.1999,28.02.2007,rds
79,78,BUJR,BUJR,Буйнакск,DAGSR,42.809,47.13,460,13.09.2000,,rds
80,79,BUJR.SM,BUJ,Буйнакск,DAGSR,42.8208,47.1039,480,13.09.2000,31.12.2011,sas
81,80,BYAR,БЛР,Белый Яр,ASGSR,61.261,73.235,40,01.04.2000,01.07.2004,rds
82,81,BZGR,BZG,Безымянный-Грива,KAGSR,55.9399,160.696,1150,22.08.2007,,rds
83,82,BZMR,BZM,Безымянный,KAGSR,55.935,160.49,1450,05.08.2006,,lds
84,83,BZP,BZP,Безымянный-Перевал,KAGSR,55.912,160.538,1556,01.09.2016,,lds
85,84,BZWR,BZW,Безымянный-Запад,KAGSR,55.965,160.497,1620,22.08.2007,,lds
86,85,CERR,CERR,Черёмушки,ASGSR,52.856,91.416,390,05.09.1990,,rds
87,86,CERR.SM,CERR,Черёмушки,ASGSR,52.856,91.416,390,01.01.2013,,sds
88,87,CGD,CGD,Чагда,YAGSR,58.7516,130.609,195,01.08.1968,,rds
89,88,CHBI,CHB,Чибит,ASGSR,50.3132,87.5034,1164,03.10.2003,,rds
